"name"	"point"	"route_str"
"Ez Pz v2"	"25"	"t2_ladder,t2_right_box_1"
"Ladder Leap from T Spawn"	"50"	"t_spawn,side_spawn_ladder"
"Ladder Leap from Jail"	"50"	"jail_floor_02,side_spawn_ladder"
"Ezier Pz"	"50"	"jail_floor_02,main_ramp,main_drag,through_t2_tower,fish_ramp,fish_hook_wedge,tower_sign"
"Beginners Destiny"	"50"	"tower_platform,banana_ramp,t2_left_wing,awp_platform"
"UpAndOut"	"50"	"elevator_exit,awp_ramp"
"Newbie Practice"	"50"	"spawn_roof_booster,banana_ramp,mario_room_teleport"
"Lake Jump"	"50"	"tower_base_water,triomino2"
"T2 Wing Wrap"	"50"	"t2_left_wing,t2_right_wing"
"T2 Wrap"	"50"	"through_t2_front_left,through_t2_back_left,through_t2_back_right,through_t2_front_right"
"Circuit"	"75"	"sriracha,hamburger,sriracha"
"Zyzz"	"100"	"tower_top,banana_ramp,jail_wall_02"
"Main Wrap from Jail"	"100"	"jail_floor_02,main_ramp,main_ramp,behind_main_ramp_trigger,main_ramp"
"Long Wrap from Jail"	"100"	"jail_floor_02,main_ramp,long_ramp,behind_long_ramp,long_ramp"
"Arthas"	"100"	"jail_floor_02,main_ramp,middle_wing,left_wedge,fish_hook_wedge,awp_ramp,behind_t2_tower_wedge"
"jail booosters floor"	"100"	"spawn_roof_water,spawn_roof_booster,main_ramp,jail_floor_02"
"Window Draaaaag"	"100"	"t2_right_window_platform,main_drag,main_drag,t2_left_window"
"Bonus Drop "	"100"	"bonus_cube,w_bezdna_lower_ramp,telepad_derevo"
"Paketik"	"100"	"t2_floor,pathetic_ramp,snip_ramp,a_ramp,turtle_floor"
"Fake Drop"	"125"	"spawn_roof_water,main_ramp,sriracha"
"Escape to AWP"	"150"	"jail_floor_02,main_ramp,t2_left_wing,awp_platform"
"Ez Pz"	"150"	"jail_floor_02,main_ramp,main_drag,through_t2_tower,fish_ramp,fish_hook_wedge,elevator_mid_entrance"
"Snowman gap"	"150"	"jail_floor_02,main_ramp,main_ramp,t_spawn_water"
"Red Light"	"150"	"healbot_sign,t2_left_wing,ct_scout_pad"
"Main Wrap from spawn"	"150"	"t_spawn,main_ramp,main_ramp,behind_main_ramp_trigger,main_ramp"
"Mario Walk"	"150"	"awp_platform,triomino1,triomino2,triomino3,mario_room_teleport"
"Baobab Telebox"	"150"	"t1_bashnya,hamburger,main_ramp,rear_spawn_ramp,telepad_box_3"
"The Bashnya Drop"	"150"	"t1_bashnya,ct_spawn_slant,ct_spawn"
"Window Pounce"	"150"	"t2_right_window_platform,main_drag,main_wings,main_blunt_ramp,main_wings,main_drag,t2_left_window"
"Baby walk"	"150"	"ct_spawn,main_ramp,middle_wing,left_wedge,elevator_mid_entrance"
"RPG thoughts"	"150"	"jail_floor_02,main_ramp,triomino2,elevator_mid_entrance"
"Kind Juice"	"150"	"jail_wall_02,main_ramp,t2_left_wing,awp_tower_tip"
"Turtle return"	"150"	"turtle_big_floor,turtle_small_ramp_2,turtle_small_ramp_1,turtle_big_floor"
"tryoith"	"150"	"grob_booster,long_ramp,awp_platform"
"Main to Sign from Jail"	"175"	"jail_floor_02,main_ramp,ski_sign"
"Zolomon"	"175"	"jail_floor_02,main_ramp,main_ramp,t_spawn_hole_front,gun_room"
"Golden Glider"	"175"	"t_spawn,main_ramp,telepad"
"T2 Wrap from jail"	"185"	"jail_floor_02,main_ramp,through_t2_front_left,through_t2_back_left,through_t2_back_right,through_t2_front_right"
"Spawn return"	"200"	"t_spawn,main_ramp,main_ramp,t_spawn"
"Rikishi"	"200"	"jail_wall_02,rear_spawn_ramp,main_ramp,main_ramp,sriracha"
"Jail Escape"	"200"	"jail_floor_02,main_ramp,main_drag,gun_room_ramp,gun_room"
"Pharm Hop"	"200"	"jail_floor_02,main_ramp,main_ramp,t_spawn_water,main_ramp"
"Centrum"	"200"	"jail_floor_02,main_ramp,t2_left_wing,t2_tower_platform"
"The Retep"	"200"	"jail_wall_02,main_ramp,awp_ramp,tower_sign"
"Grodd"	"200"	"tower_platform,banana_ramp,main_ramp,rear_spawn_ramp,long_ramp,t2_tower_platform"
"Ladder Leap"	"200"	"ct_spawn,side_spawn_ladder"
"The Drop"	"200"	"jail_floor_02,ct_spawn_slant,ct_spawn"
"Odisseo"	"200"	"tower_platform,banana_ramp,awp_ramp,through_t2_front_right,through_t2_back_right,behind_t2_tower_wedge,fish_ramp,awp_ramp"
"Bananaana Rise"	"200"	"jail_floor_02,spawn_roof_booster,banana_ramp,tower_platform"
"Yoshi is gay"	"200"	"nlo_platform,kevin_ramp,keith_ramp,awp_platform"
"wing surf"	"200"	"bonus_platform,sriracha,t2_left_wing,t2_right_wing,main_ramp,spawn_roof_platform"
"Like GG"	"200"	"flat_platform,flat_ramp,flat_ramp,flat_platform"
"Zxlupa Return"	"200"	"spawn,main_ramp,main_ramp,spawn"
"Short Walk"	"200"	"t2_high_water,pathetic_ramp,a_ramp,turtle_boost"
"Short Ladder Trip"	"200"	"pillar_floor,footlight_ramp,main_ramp,t2_ladder"
"Fish get awp"	"200"	"fish_booster_middle,throw_middle_awp,awp_ramp,awp_platform"
"Multifrukt"	"200"	"fish_booster_middle,throw_middle_awp,under_blunt,t2_center_down_ramp,awp_ramp,t2_left_wing,t2_tower_platform"
"Tidal wave"	"200"	"fish_booster,awp_ramp,throw_middle_awp,fish_hook_wedge,tower_sign"
"easy snurbs revolution"	"225"	"tower_top,banana_ramp,triomino2,sriracha,section_slant,t2_right_hole"
"BrzenkV2"	"225"	"elevator_exit,tower_box1,banana_platform"
"Trilogy"	"250"	"jail_floor_02,main_ramp,long_ramp,t2_tower_platform"
"Long Stretch"	"250"	"jail_floor_02,main_ramp,tower_base_water"
"Kano"	"250"	"jail_floor_02,main_ramp,section_ramp"
"Jail booosters"	"250"	"spawn_roof_water,spawn_roof_booster,main_ramp,jail_wall_02"
